email, i meo
granite, gờ ran nít
olympic, ô lim pích
covid, cô vít
gala, ga la
robot, rô bốt
virus, vi rút
cô rô na, cô rô na
web, web
copy, cóp pi
website, web sai
online, on lai
internet, in tơ nét
iot, ai âu ti
showroom, sâu rum
polymer, pô li me
3d, ba đê
kg, ki lô gam
ceramics, xê ra mích
composites, com pô rít
usd, u ét đê
mobile, mô bai
asean, a xe an
smart, sờ mát
carbon, các bon
data, đa ta
database, đa ta bây
led, lét
group, gờ rúp
link, linh
video, vi đeo
visa, vi ra
vico, vi cô
ion, i ông
lotte, lót te
laptop, láp tốp
ceramic, xê ra mích
honda, hon đa
2d, hai đê
robotics, rô bốt tích
mini, mi ni
output, ao pút
twitter, tuýt tơ
logic, lô rích
radar, ra đa
km, ki lô mét
unesco, u nét cô
hiv, hát i vê
robotic, rô bốt tích
gdp, gi đi pi
clip, cờ líp
start, sờ tát
workshop, guốc sóp
api, ây pi ai
download, đao loát
Newton, niu tơn
vaccine, vắc xin
cv, si vi
support, sắp pót
view, viu
bank, banh
banking, banh kinh
album, an bum
plaza, pờ la ra
Mazda, mát đa
polymers, pô li me
iq, i quy
game, gêm
gaming, gêm minh
gamer, gêm mờ
micro, mi cờ rô
ceo, si i âu
settings, sét tinh
otp, ô tê pê
cloud, cờ lao
handmade, han mết
silicon, si li côn
omega, ô me ga
amazon, a ma dôn
Nobel, nô ben
euro, ơ rô
poster, pốt tơ
topic, tóp pích
Reports, ri pót
delay, đi lây
tool, tun
protein, pờ rô tê in
editor, ê đi tờ
violon, vi ô lông
deadline, đét lai
demo, đề mô
piano, pi a nô
pdf, pê đê ép
dioxin, đi ô xin
startup, sờ tát ắp
startups, ờ tát ắp
nylon, ni lông
Stones, sờ ton
hydro, hi đờ rô
UNICEF, iu ni xép
hotel, hâu theo
sofa, sô pha
bờ lốc, bờ lóc
sales, sêu
camera, ca me ra
PhD, pi ết đi
robots, rô bốt
spa, sờ pa
karaoke, ca ra ô kê
galaxy, ga la xi
fax, phách
soda, sô đa
platform, pờ lát phom
smarthome, sờ mát hôm
smartphone, sờ mát phôn
Solutions, sơ lu sừn
Solution, sơ lu sừn
Software, sóp goe
Hardware, hát goe
network, nét guốc
open source, âu pừn sót
remote, ri mốt
hyperlink, hai pơ linh
import, im pót
export, ích pót
matlab, mát láp
java, ra va
open, âu pừn
ipay, i pây
sms, ét em ét
center, xen tờ
hills, hiu
WHO, vê kép hát ô
matlab, mát láp
microsoft, mai cờ rô sóp
Outlook, ao lúc
iphone, ai phôn
mail, meo
webmail, web meo
vnexpress, vi en ích pờ rét
vinpearl, vin pơn
vinschool, vin sờ cun
vincommerce, vin com mơ
vineco, vin ê cô
masan, ma san
vingroup, vin gờ rúp
vincity, vin si ty
vinpro, vin pờ rô
card, cạc
asus, a sút
vintech, vin tếch
fintech, phin tếch
hp, hát pê
city, si ty
toyota, tô y ô ta
vinamilk, vi na miêu
duplex, đu pờ lếch
point, poi
forbes, pho bét
fanpage, phan pây
like, lai
studio, sờ tu đi ô
asian, a si an
nikkei, ních cây
review, ri viu
