google, gu gồ
g-suite, gờ sui
gmail, gờ meo
dallas, đa lát
webcam, web cam
engine, en din
online, on lai
toolbox, tun bóc
app, áp
apps, áp
usb, u ét bê
store, sờ to
googledrive, gu gồ đờ rai vờ
services, sơ vít
bđs, bất động sản
vng, vi en gi
vinagame, vi na gêm
vtc, vê tê xê
fifa, phi pha
corp, cóp
webgame, web gêm
fgame, ép gêm
vccorp, vê xê cóp
soha, sô ha
games, gêm
movies, mu vi
fan, phan
1970, một chín bảy mươi
2000, hai nghìn
gui, gờ u i
builder, biu đờ
gnu, gờ nờ u
grab, gờ ráp
obama, ô ba ma
socola, sô cô la
chip, chíp
nvidia, nờ vi đi a
android, an đờ roi
airways, e guây
rakuten, ra cu ten
1, một
2, hai
4, bốn
5, Năm
6, sáu
7, bảy
500, Năm trăm
8, tám
19, mười chín
10, mười
25, hai lăm
710, bảy trăm mười
3, ba
0, không
400, bốn trăm
92, chín hai
13, mười ba
40, bốn mươi
50, Năm mươi
64, sáu tư
20, hai mươi
80, tám mươi
9, chín
15, mười lăm
100, một trăm
300, ba trăm
11, mười một
200, hai trăm
880, tám trăm tám mươi
45, bốn lăm
16, mười sáu
87, tám bảy
12, mười hai
70, bảy mươi
17, mười bảy
700, bảy trăm
538, Năm trăm ba tám
52, Năm hai
270, hai trăm bảy mươi
37, ba bảy
23, hai ba
44, bốn tư
18, mười tám
47, bốn bảy
42, bốn hai
60, sáu mươi
135, một trăm ba lăm
72, bảy hai
04, bốn
180, một trăm tám mươi
30, ba mươi
600, sáu trăm
750, bảy trăm Năm mươi
31, ba mốt
48, bốn tám
33, ba ba
24, hai tư
27, hai bảy
41, bốn mốt
46, bốn sáu
34, ba tư
35, ba lăm
14, mười bốn
110, một trăm mười
38, ba tám
191, một trăm chín mốt
28, hai tám
380, ba trăm tám mươi
430, bốn trăm ba mươi
201, hai trăm linh một
304, ba trăm linh bốn
316, ba trăm mười sáu
410, bốn trăm mười
450, bốn trăm Năm mươi
69, sáu chín
79, bảy chín
94, chín tư
796, bảy trăm chín sáu
01, một
905, chín trăm linh Năm
900, chín trăm
603, sáu trăm linh ba
250, hai trăm Năm mươi
61, sáu mốt
90, chín mươi
57, Năm bảy
26, hai sáu
550, Năm trăm Năm mươi
43, bốn ba
999, chín trăm chín chín
101, một trăm linh một
120, một trăm hai mươi
21, hai mốt
414, bốn trăm mười bốn
08, tám
77, bảy bảy
203, hai trăm linh ba
89, tám chín
154, một trăm Năm tư
84, tám tư
360, ba trăm sáu mươi
98, chín tám
