phenikaa, phê ni ca
prati, pờ rát ti
pias, pi át
vicostone, vi cô sờ tôn
marble, máp bồ 
calacatta, ca la cát ta
fpt, ép pi ti
ncov, en cô vi
nano, na nô
website, web sai
fsoft, ép sóp
google, gu gồ
5g, năm gờ
4g, bốn gờ
vietgap, việt gáp
globalgap, gờ lâu bờ gáp
robocon, rô bô con
talkshow, thoóc sâu
scimago, ét si ma gâu
samsung, sam sung
macbook, mác búc
vincom, vin com
wifi, goai phai
gameshow, gêm sâu
minishow, mi ni sâu
olympic, ô lim pích
shophouse, sóp hau
vnexpress, vi en ích pờ rét
vinaconex, vi na cô nếch
hateco, ha tê cô
smartphone, sờ mát phôn
aptech, áp tếch
tivi, ti vi
pratti, pờ rát ti
matlab, mát láp
vinhomes, vin hôm
cityland, si ti lan
i nốc, i nốc
microsoft, mai cờ rô sóp
livestream, li vờ sờ chim
facebook, phây búc
facebookers, phây búc cờ
coronaviruses, cô rô na vi rút
nvidia, nờ vi đi a
toeic, tô ích
airpods, e pốt
polimer, pô ly me
viettel, việt theo
vingroup, vin gờ rúp
axit, a xít
cloud, cờ lao
icloud, ai cờ lao
gmail, gờ meo
https, hát tê tê pê ét
iots, ai âu ti
robotics, rô bốt tích
smartcity, sờ mát si ty
smarthome, sờ mát hôm
mitsubishi, mít su bi si
vinfast, vin phát
platform, pờ lát phom
AI, ây ai
IT, ai ti
