Trung Quốc,trung quốc
Đài Loan,đài loan
Hồng Kông,hồng công
Ma Cao,ma cao
Triều tiên,triều tiên
Nhật Bản,nhật bản
Mông Cổ,mông cổ
Hàn Quốc,hàn quốc
Ap-ga-ni-xtan,áp ga nít tan
băng-la-đét,băng la đét
Bu-tan,bu tan
Ấn độ,ấn độ
I-ran,i ran
iran, i ran
ca-dắc-xtan,ca dắc tan
Man-đi-vơ,man đi vơ
Pa-ki-xtan,pa kít tan
Xri-lan-ka,sờ ri lan ca
Bru-nây,bờ ru nây
Căm-pu-chia,cam pu chia
campuchia, cam pu chia
In-đô-nê-xi-a,in đô nê xi a
indonesia,in đô nê xi a
Lào,lào
Ma-lai-xi-a,ma lai xi a
My-an-ma,mi an ma
myanmar, mi an ma
myanma,mi an ma 
Phi-lip-pin,phi líp pin
Xinh-ga-po,sin ga po
Thái Lan,thái lan
Đông Ti-mo,đông ti mo
Việt Nam,việt nam
I-rắc,i rắc
I-xra-en,ít ra en
Cô-oét,cô oét
Li-băng,li băng
Liban, li băng
Palestine,pa lét tin
Ô-man,ô man
Qua-ta,qua ta
ả-rập xê-út,ả ập xê út
Syria,si ri
Thổ Nhĩ Kỳ,thổ nhĩ kỳ
Y-ê-men,i ê men
Bê-la-rut,bê la rút
Bun-ga-ri,bun ga ri
Séc,séc
Hung-ga-ri,hung ga ri
Hungari, hung ga ri
Ba Lan,ba lan
Ru-ma-ni,ru ma ni
Slô-va-ki-a,sờ lô va ki a
U-crai-na,u cờ rai na
Đan Mạch,đan mạch
Phần lan,phần lan
Ai-xơ-len,ai xơ len
Na-uy,na uy
Thụy Điển,thụy điển
An-ba-ni,an ba ni
Hy Lạp,hy lạp
I-ta-li-a,i ta li a
Bồ Đào Nha,bồ đào nha
Tây Ban Nha,tây ban nha
Bỉ,bỉ
Pháp,pháp
Đức,đức
Mô-na-cô,mô na cô
Hà Lan,hà lan
Thuỵ Sĩ,thụy sĩ
Ma-đa-ga-xca,ma đa gát ca
mô-dăm-bích,mô dăm bích
Xô-ma-li,xô ma li
ăng-gô-la,an gô la
Ca-mơ-run,ca mơ run
Công-gô,công gô
An-giê-ri,an giê ri
Ai-cập,ai cập
Li-bi,li bi
Ma-rốc,ma rốc
Xu-đăng,xu đăng
Tuy-ni-di,tuy ni di
Tây Sa-ha-ra,sa ha ra
nam phi,nam phi
Ga-na,ga na
Ni-giê-ri-a,ni giê ri a
Cu-ba,cu ba
Hai-i-ti,hai ti
haiti, hai ti
Mê-hi-cô,mê hi cô
Pa-na-ma,pa na ma
Ac-hen-ti-na,ác hen ti na
ác-hen-ti-na,ác hen ti na
Bra-xin,bờ ra xin
Chi-lê,chi lê
Chi-le,chi lê
Cô-lôm-bi-a,cô lôm bi a
Pê-ru,pê ru
Béc-mu-đa,béc mu đa
Ca-na-đa,ca na đa
canada,ca na đa
Ô-xtrây-li-a,ốt chây li a
australia, ốt chây li a
Niu-Di-lân,niu di lân
singapore, sin ga po
peru, pê ru
