Tokyo,tô ki ô
Seoul,sơ un
Mumbai,mum bai
Delhi ,đê hi
New York,niu oóc
Jakarta ,gia các ta
MANILA ,ma ni la
Los Angeles,lốt an gơ lét
Thượng Hải ,thượng hải
Osaka ,ô sa ca
CAIRO ,cai rô
Quảng Châu,quảng châu
MATX-CƠ-VA ,mát xít cơ va
Bắc Kinh,bắc kinh
Istanbul ,ít ta bun
Tehran ,tê hê ran
LONDON ,lôn đôn
PARIS ,pa ri
Chicago,chi ca gô
Trùng Khánh,trùng khánh
Nagoya ,na gô i a
Vũ Hán ,vũ hán
BANGKOK ,băng cốc
WASHINGTON,oa sinh tơn
Thiên Tân,thiên tân
Baghdad ,bát đa
Dallas,đa lát
ma đờ rít ,ma rít
Philadelphia,phi la đen phi a
Santiago ,san ti a gô
Toronto ,tô rôn tô
Thẩm Dương ,thẩm dương
Yangon,rang gôn
Tây An,tây an
Saint Petersburg,xanh pê téc bua
Sydney ,xít ni
BERLIN ,béc lin
Barcelona ,bác xê lô na
Milan,mi lan
Nam Kinh,nam kinh
Hàng Châu,hàng châu
Ankara ,an ca ra
Melbourne ,meo bơn
ATHENS ,a then
Bình Nhưỡng ,bình nhưỡng
Busan,bu san
Lisbon ,lít bôn
Incheon ,in chơn
Colombo ,cô lôm bô
Manchester ,man chét tơ
Vancouver,van cu vơ
va len xi a ,va len xi a
Brussels ,bờ rút xen
hi ro si ma ,hi rô si ma
Kyoto ,ki ô tô
Porto ,pót tô
li vơ phun ,li vơ phun
Prague ,pờ ra ha
stanford, sờ tan phớt
sydney, sít ni
